Website,Order ID,Order Date,Purchase Order Number,Currency,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal,Shipment Item Subtotal Tax,ASIN,Product Condition,Quantity,Order Status,Shipment Status,Ship Date,Shipping Option,Carrier Name & Tracking Number,Product Name,Gift Message,Gift Sender Name,Gift Recipient Contact Details,Item Serial Number
Amazon.ca,702-4060128-5100216,2024-09-11T02:46:10Z,Not Applicable,CAD,39.99,5.2,0,0,45.19,54.98,7.15,B0CM33WPTY,New,1,Closed,Shipped,2024-09-12T02:00:38.882Z,second-ca,AMZN_CA(TBC196647251009),"Vacuum Storage Bags 12 Jumbo, Space Saver Sealer Bags, Airtight Compression Bags for Clothes, Pillows, Comforters, Blankets, Bedding",Not Available,Not Available,Not Available,Not Available
Amazon.ca,702-6367895-0390655,2024-09-11T02:46:10Z,Not Applicable,CAD,19.73,0,0,0,19.73,19.73,0,B0CJ99B26W,New,1,Closed,Shipped,2024-09-11T15:11:45.482Z,std-intl-us-ca-fba,AMZN_CA(TBC196615860009),"frepstudio Cute Case Compatible for iPhone 15 Bible Verses for Girls Women,Roses Inspirational Scripture Christian Quotes Corinthians 16:14 Soft Protective Case Compatible with iPhone 15",Not Available,Not Available,Not Available,Not Available
Amazon.ca,702-4060128-5100216,2024-09-11T02:46:10Z,Not Applicable,CAD,14.99,1.95,0,0,16.94,54.98,7.15,B0CMJFP7VH,New,1,Closed,Shipped,2024-09-12T02:00:38.882Z,second-ca,AMZN_CA(TBC196647251009),"Electric Air Pump for Vacuum Storage Bags, Portable Vacuum Bag Pump for Various Vacuum Space Saver Bag, Vacuum Storage Bag Pump for Compression Clothes(Storage Bag Not Included)",Not Available,Not Available,Not Available,Not Available
Amazon.ca,702-1961167-2173022,2024-09-05T16:36:39Z,Not Applicable,CAD,9.99,1.3,0,0,11.29,43.98,4.33,B08VHBG61S,New,1,Closed,Shipped,2024-09-06T01:10:10.657Z,next-ca,AMZN_CA(TBC190843117009),"100PCS Nitrile Disposable Gloves , Latex Free Powder Free Glove ,Ship From Canada (Medium)",Not Available,Not Available,Not Available,Not Available
Amazon.ca,702-1961167-2173022,2024-09-05T16:36:39Z,Not Applicable,CAD,33.99,3.03,0,'-10.68',26.34,43.98,4.33,B08613X9CR,New,1,Closed,Shipped,2024-09-06T01:10:10.657Z,next-ca,AMZN_CA(TBC190843117009),"Bedsure Queen Sheet Set - Soft Sheets for Queen Size Bed, 4 Pieces Hotel Luxury Beige Sheets Queen, Easy Care Polyester Microfiber Cooling Bed Sheet Set",Not Available,Not Available,Not Available,Authenticity_2D=AZ:8P3USDRXH5F3JFPY33C8KKD36Y
Amazon.ca,702-1025179-8815454,2024-08-30T03:34:36Z,Not Applicable,CAD,20.35,0,0,0,20.35,20.35,0,B01NCL4MAI,New,1,Closed,Shipped,2024-08-31T02:37:02.043Z,second-ca,AMZN_CA(TBC183886276009),MOTIONS Neutralizing Shampoo,Not Available,Not Available,Not Available,Not Available
Amazon.ca,702-5126667-0137849,2024-08-30T03:34:36Z,Not Applicable,CAD,26.99,3.51,0,0,30.5,26.99,3.51,B01BFVH37A,New,1,Closed,Shipped,2024-08-30T08:22:15.315Z,next-ca,AMZN_CA(TBC183733106009),"Linange Alter Ego Shea Butter Texturizer, 16 Ounce",Not Available,Not Available,Not Available,Not Available
Amazon.ca,702-2698670-6757065,2024-08-24T03:03:18Z,Not Applicable,CAD,23.99,2.6,0,'-4',22.59,59.98,7.28,B0BQ2JZZXS,New,1,Closed,Shipped,2024-08-24T06:04:50Z,next-ca,AMZN_CA(TBC177126801009),"Bedsure Cooling Pillow Case King Size 2 Pack - Rayon Made from Bamboo, White Chill Pillowcase, Soft & Breathable Pillow Covers with Envelope Closure, Gift for Hot Sleepers in Summer, 20x36 Inches",Not Available,Not Available,Not Available,Not Available
Amazon.ca,702-2698670-6757065,2024-08-24T03:03:18Z,Not Applicable,CAD,35.99,4.68,0,0,40.67,59.98,7.28,B01HH198KW,New,1,Closed,Shipped,2024-08-24T06:04:50Z,next-ca,AMZN_CA(TBC177126801009),"CanPrev - Pure Magnesium Bis-Glycinate 200mg (Gentle) | 240 v-caps | Elemental Chelated Complex Supplement | Magnesium bis-glycinate blend - Glycine, Magnesium Oxide, Magnesium bis-glycinate chelate | Vegan",Not Available,Not Available,Not Available,Not Available
Amazon.ca,702-1922212-1061822,2024-08-08T17:54:40Z,Not Applicable,CAD,9.99,1.3,0,0,22.58,68.98,8.97,B0CHL7DLK2,New,2,Closed,Shipped,2024-08-09T06:27:10Z,next-ca,AMZN_CA(TBC161232625009),Prayer Journal for Men - 'I am a Son of the King': Faith Notebook for Men of God with Inspirational Bible Study Verses - Rustic Christian Note Book with Scripture - 128 lined pages,Not Available,Not Available,Not Available,Authenticity_2D=010978173963987721P7IPWPRHPBD97N8BDODI and Authenticity_2D=010978173963987721BRKUE41QFFGHXJIG17SZ
Amazon.ca,702-1922212-1061822,2024-08-08T17:54:40Z,Not Applicable,CAD,49,6.37,0,0,55.37,68.98,8.97,B0CJH3R48Z,New,1,Closed,Shipped,2024-08-09T06:27:10Z,next-ca,AMZN_CA(TBC161232625009),"Paulas Choice SKIN PERFECTING 2% BHA Liquid Salicylic Acid Exfoliant, Daily Facial Exfoliator for Blackheads, Enlarged Pores, Wrinkles & Fine Lines, Fragrance-Free & Paraben-Free, Full Size - 118 ml",Not Available,Not Available,Not Available,Authenticity_2D=AZ:NKWEQPISIJG6PIWXORP7TWGJ1I
Amazon.ca,702-0321255-3158603,2024-08-03T03:33:34Z,Not Applicable,CAD,29.98,0,0,0,0,Not Available,Not Available,B0CDLW7PZ5,New,0,Cancelled,Not Available,Not Available,next-ca,Not Available,"CeraVe Skin Renewing Vitamin C Serum with 10% Pure VITAMIN C for Face With Hyaluronic Acid | Skin Brightening Face Serum for dark spots with ceramides & Vitamin B5. Fragrance Free, Developed with dermatologists, 30mL",Not Available,Not Available,Not Available,Not Available
Amazon.ca,702-7808076-1581841,2024-08-03T03:25:22Z,Not Applicable,CAD,12.35,1.61,0,0,13.96,12.35,1.61,B0CQ18JF31,New,1,Closed,Shipped,2024-08-03T14:35:37Z,second-ca,AMZN_CA(TBC155468462009),"Matchbox Tesla Model X, red 18/100",Not Available,Not Available,Not Available,Not Available
Amazon.ca,702-5003251-6604235,2024-08-03T03:25:22Z,Not Applicable,CAD,20.98,2.73,0,0,23.71,20.98,2.73,B0D25CQT4V,New,1,Closed,Shipped,2024-08-03T08:36:46Z,next-ca,AMZN_CA(TBC155377056009),"Wild Yam Cream, Wild Yam Cream Organic for Skincare, Wild Yam Cream Hormone Balancing for Women, Wild Yam Cream for Menopause for All Skin Types, 1.7oz",Not Available,Not Available,Not Available,Not Available
Amazon.ca,702-6929571-5829024,2024-07-18T03:20:31Z,Not Applicable,CAD,19.99,0,0,0,0,Not Available,Not Available,B0CT2C6PYY,New,0,Cancelled,Not Available,Not Available,second-ca,Not Available,Wild Yam Cream for Menopause：pure and wholesome skincare 100 g,Not Available,Not Available,Not Available,Not Available
Amazon.ca,702-6929571-5829024,2024-07-18T03:20:31Z,Not Applicable,CAD,24.88,0,0,0,0,Not Available,Not Available,B0CDLW7PZ5,New,0,Cancelled,Not Available,Not Available,second-ca,Not Available,"CeraVe Skin Renewing Vitamin C Serum with 10% Pure VITAMIN C for Face With Hyaluronic Acid | Skin Brightening Face Serum for dark spots with ceramides & Vitamin B5. Fragrance Free, Developed with dermatologists, 30mL",Not Available,Not Available,Not Available,Not Available
Amazon.ca,701-1588136-1524244,2024-07-17T03:59:27Z,Not Applicable,CAD,9.99,1.3,0,0,11.29,81.51,7.98,B001AWXPAY,New,1,Closed,Shipped,2024-07-19T01:25:23Z,second-ca,AMZN_CA(TBC137575268009),"Carol's Daughter Black Vanilla Moisturizing Leave In Conditioner Spray - Made with Castor and Rosemary Oil, 8 fl oz",Not Available,Not Available,Not Available,Not Available
Amazon.ca,701-1588136-1524244,2024-07-17T03:59:27Z,Not Applicable,CAD,20.2,0,0,0,20.2,81.51,7.98,B07737NWGY,New,1,Closed,Shipped,2024-07-19T01:25:23Z,second-ca,AMZN_CA(TBC137575268009),"Rani Cloves Whole (Laung) 14oz (400g) Great for Food, Tea, Pomander Balls and Potpourri, Hand Selected, Spice, Bulk PET Jar ~ All Natural | Non-GMO | Vegan | Kosher | Gluten Friendly | Indian Origin",Not Available,Not Available,Not Available,Not Available
Amazon.ca,701-1588136-1524244,2024-07-17T03:59:27Z,Not Applicable,CAD,13.99,1.82,0,0,15.81,81.51,7.98,B09H4NZV7M,New,1,Closed,Shipped,2024-07-19T01:25:23Z,second-ca,AMZN_CA(TBC137575268009),"150 Pieces 20mm Wood Beads Large Hole Macrame Wooden Beads Variety Pack, Colored Wooden Loose Beads for Craft/Garlands/Home Party Decor, 9mm Hole (Brown/Wood/Blue)",Not Available,Not Available,Not Available,Not Available
Amazon.ca,701-1588136-1524244,2024-07-17T03:59:27Z,Not Applicable,CAD,39.91,5.19,0,0,45.1,39.91,5.19,B0BGRBYWQK,New,1,Closed,Shipped,2024-07-18T08:02:31Z,second-ca,AMZN_CA(TBC136977518009),"All Season Queen Size Comforter Set 3 PCs, Ultra Soft White Comforter+2 Pillow Shams with Corner Tabs -Quilted Down Alternative Bedding Comforter Set - Premium 2100 Series Reversible (Queen, 90""x90"")",Not Available,Not Available,Not Available,Not Available
Amazon.ca,701-1588136-1524244,2024-07-17T03:59:27Z,Not Applicable,CAD,5.37,0.7,0,0,6.07,81.51,7.98,B08PJK943X,New,1,Closed,Shipped,2024-07-19T01:25:23Z,second-ca,AMZN_CA(TBC137575268009),"hello Kids Fluoride Toothpaste, Vegan and Sls Free, Unicorn Sparkle, Natural Bubble Gum, 88 mL",Not Available,Not Available,Not Available,Not Available
Amazon.ca,701-1588136-1524244,2024-07-17T03:59:27Z,Not Applicable,CAD,15.99,2.08,0,0,18.07,81.51,7.98,B0843XSMMM,New,1,Closed,Shipped,2024-07-19T01:25:23Z,second-ca,AMZN_CA(TBC137575268009),"CeraVe FOAMING Face Wash, Gentle Face Cleanser for Men & Women with Hyaluronic Acid, Niacinamide, Ceramides. Makeup Remover for oily skin, won't clog pores. Non-Comedogenic, Sensitive Skin, 473ML",Not Available,Not Available,Not Available,Not Available
Amazon.ca,701-1588136-1524244,2024-07-17T03:59:27Z,Not Applicable,CAD,8.49,1.1,0,0,9.59,8.49,1.1,B0BSCFG16Z,New,1,Closed,Shipped,2024-07-17T16:40:32Z,second-ca,AMZN_CA(TBC135436778009),Dove Advanced Care Dry Spray Antiperspirant deodorant for Women Passion Fruit & Lemongrass for 48 hour Protection and Soft and Comfortable Underarms 107 g,Not Available,Not Available,Not Available,Not Available
Amazon.ca,701-1588136-1524244,2024-07-17T03:59:27Z,Not Applicable,CAD,15.97,2.08,0,0,18.05,81.51,7.98,B01CPLICB0,New,1,Closed,Shipped,2024-07-19T01:25:23Z,second-ca,AMZN_CA(TBC137575268009),"NIVEA Creme | All Purpose Moisturizing Cream| Face, Hand, Body Cream | Deep Nourishment | For all skin types Normal to dry & Sensitive | Daily Moisturizer | 400ml",Not Available,Not Available,Not Available,Not Available
Amazon.ca,702-7339144-2714656,2024-07-05T03:31:21Z,Not Applicable,CAD,11.99,1.56,0,0,13.55,11.99,1.56,B09KPM7QZG,New,1,Closed,Shipped,2024-07-05T07:54:31Z,next-ca,AMZN_CA(TBC122779531009),TUPARKA 60Pcs Waxed Necklace Cord 1.5mm Necklace String with Clasp Bulk Necklace Rope for Necklace Bracelet Jewelry Making Accessories(6 Colors),Not Available,Not Available,Not Available,Not Available
Amazon.ca,702-7339144-2714656,2024-07-05T03:31:21Z,Not Applicable,CAD,19.99,2.6,0,0,22.59,19.99,2.6,B07WSB8JYY,New,1,Closed,Shipped,2024-07-05T08:15:03Z,next-ca,AMZN_CA(TBC122776532009),Finrezio 3Pcs Upper Arm Band for Women Gold Arm Bangle Cuff Bracelets Open Adjustable Armlets Simple Coil Swirl Armband Jewelry Set,Not Available,Not Available,Not Available,Not Available
Amazon.ca,702-4341860-5961011,2024-07-05T02:34:14Z,Not Applicable,CAD,10,0,0,0,10,10,0,B000277SL0,New,1,Closed,Shipped,2024-07-06T05:08:00Z,std-intl-us-ca-fba,AMZN_CA(TBC123459575009),"Mack's AquaBlock Swimming Earplugs, 2 Pair - Comfortable, Waterproof, Reusable Silicone Ear Plugs for Swimming, Snorkeling, Showering and Bathing",Not Available,Not Available,Not Available,Not Available
