Website,ReversalID,OrderID,CreationDate,Quantity,RefundCompletionDate,RefundCompletionDate2,Amount,Currency,DisbursementType,ReversalStatus,ReversalAmountState,ReversalReason,DirectDebitRefundAmount
Amazon.ca,Ni8SxwwwS7iuyzZ1BYyvFg,702-7845168-0330623,7/25/2024 15:03,1,7/19/2024,45498.76488,13.55,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,mVJpUrsMSjeXfsublu7+Eg,702-7339144-2714656,7/18/2024 18:27,1,4/8/2024,45491.89091,22.59,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,95fDoeUiRASd//acnxeBBQ,702-9903012-8996264,4/7/2024 19:00,1,3/30/2024,45389.82629,0,CAD,Refund,Declined,Final,Customer return,0
Amazon.ca,VgWmWZCPS9mARO5w3yAV9Q,702-4853823-3977051,3/29/2024 15:51,1,3/29/2024,45380.79241,21.46,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,Pa9qzNt1QYKrqM9QDTBUNA,702-2382685-0809025,3/28/2024 19:51,1,3/29/2024,45379.9792,33.89,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,qEKDt0CSTNeI+ZB6Ex0kZA,702-2382685-0809025,3/28/2024 19:49,1,3/27/2024,45379.9792,33.89,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,Wji1D6Z/SZ+hLO1Bhf15kQ,702-8284655-5354667,3/26/2024 16:51,1,3/29/2024,45377.8336,44.06,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,50+g69LeS2mXg6WCgT+Jvw,702-2382685-0809025,3/28/2024 19:47,1,3/27/2024,45379.9792,33.89,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,kKjDkRhpSLa8h4BIweddKw,702-8782482-7119454,3/26/2024 16:49,1,11/20/2023,45377.83502,53.09,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,uYGuCzZSTdSTmrHBLbxmhQ,701-6698883-0222650,11/19/2023 17:24,1,11/20/2023,45249.76484,13.76,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,5wT6zfsCTxmEU6HOxeaAjg,701-6698883-0222650,11/7/2023 16:11,1,11/20/2023,45249.76484,13.76,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,5AIvO1N5Squ//L0EH0VlEw,701-6698883-0222650,11/7/2023 16:10,1,11/20/2023,45249.76484,13.76,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,5AIvO1N5Squ//L0EH0VlEw,701-6698883-0222650,11/7/2023 16:10,1,10/18/2023,45249.76484,13.76,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,30HAhO+ySPmMi5wJQHtjiw,701-2542192-2580254,10/17/2023 18:44,1,10/21/2023,45216.82729,18.07,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,8FDB3zEXQLiWSUI90LQNEw,701-1544873-8280247,10/20/2023 11:27,1,10/18/2023,45219.50587,36.1,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,FSeftQUQRW++/Va95oMTeg,701-2483385-1254657,10/17/2023 18:44,1,9/25/2023,45216.83399,36.1,CAD,Refund,Completed,Final,Customer return,0
Amazon.ca,G4cHXcAHTD6FrQ3o+ClDwQ,701-8659257-8515420,9/24/2023 14:29,1,6/16/2023,45193.65481,7.33,CAD,Refund,Completed,Final,Wrong item was sent,0
Amazon.ca,EAakBEgdTmmH8R+z96/Crw,701-9346887-4375409,6/15/2023 18:21,1,6/8/2023,45092.88292,14.68,CAD,Refund,Completed,Final,Customer return,0
