"OrderID","ReversalID","RefundCompletionDate","Currency","AmountRefunded","Status","DisbursementType"
"702-7845168-0330623","Ni8SxwwwS7iuyzZ1BYyvFg","2024-07-25T22:21:25.765Z","CAD","13.55","Completed","Refund"
"702-7339144-2714656","mVJpUrsMSjeXfsublu7+Eg","2024-07-19T01:22:54.261Z","CAD","22.59","Completed","Refund"
"702-9903012-8996264","95fDoeUiRASd//acnxeBBQ","2024-04-07T23:49:51.119Z","CAD","0","Completed","Refund"
"702-4853823-3977051","VgWmWZCPS9mARO5w3yAV9Q","2024-03-29T23:01:04.284Z","CAD","21.46","Completed","Refund"
"702-2382685-0809025","qEKDt0CSTNeI+ZB6Ex0kZA","2024-03-29T03:30:03.256Z","CAD","33.89","Completed","Refund"
"702-2382685-0809025","Pa9qzNt1QYKrqM9QDTBUNA","2024-03-29T02:39:03.609Z","CAD","53.09","Completed","Refund"
"702-2382685-0809025","50+g69LeS2mXg6WCgT+Jvw","2024-03-29T02:31:46.713Z","CAD","41.8","Completed","Refund"
"702-8782482-7119454","kKjDkRhpSLa8h4BIweddKw","2024-03-27T00:02:25.638Z","CAD","53.09","Completed","Refund"
"702-8284655-5354667","Wji1D6Z/SZ+hLO1Bhf15kQ","2024-03-27T00:00:22.637Z","CAD","44.06","Completed","Refund"
"701-6698883-0222650","uYGuCzZSTdSTmrHBLbxmhQ","2023-11-19T23:21:22.143Z","CAD","13.76","Completed","Refund"
"701-6698883-0222650","5AIvO1N5Squ//L0EH0VlEw","2023-11-08T00:35:00.999Z","CAD","19.11","Completed","Refund"
"701-6698883-0222650","5wT6zfsCTxmEU6HOxeaAjg","2023-11-08T00:11:20.445Z","CAD","44.06","Completed","Refund"
"701-1544873-8280247","8FDB3zEXQLiWSUI90LQNEw","2023-10-20T16:08:26.798Z","CAD","36.1","Completed","Refund"
"701-2483385-1254657","FSeftQUQRW++/Va95oMTeg","2023-10-18T00:00:56.765Z","CAD","36.1","Completed","Refund"
"701-2542192-2580254","30HAhO+ySPmMi5wJQHtjiw","2023-10-17T23:51:17.526Z","CAD","18.07","Completed","Refund"
"701-8659257-8515420","G4cHXcAHTD6FrQ3o+ClDwQ","2023-09-24T19:42:55.547Z","CAD","7.33","Completed","Refund"
"701-9346887-4375409","EAakBEgdTmmH8R+z96/Crw","2023-06-16T01:11:24.100Z","CAD","14.68","Completed","Refund"
"701-1827146-5843460","FTHInMFiRoG8TB84PErtlw","2023-06-07T14:31:03.217Z","CAD","114.33","Completed","Refund"
"701-9621566-5166662","vwx9dYxbSKeoxQfKKatGkA","2023-06-03T03:27:11.964Z","CAD","7.36","Completed","Refund"
"701-6507823-9321862","QSgz/QlnSL6QavbJ84ofjQ","2023-05-27T14:17:54.732Z","CAD","336.6","Completed","Refund"
"702-8999797-4190605","MUhLqxdtR1Wyk30VGLBBPw","2023-01-31T23:03:26.872Z","CAD","188.74","Completed","Refund"
"702-8302311-8385012","z93JGhBITyiiGP9TLMiKiA","2023-01-10T23:57:43.699Z","CAD","69.21","Completed","Refund"
